id,地址
10148,府中路
10148,文化路
16518,中平路
10148,中山路
10148,中正一路
10171,萬大路
10172,南昌路
10148,中山路
10148,中山路三段+中州街
10161,青雲路
10172,連城路
10172,福祥路
10172,莊敬路
10172,仁愛路
10172,保安路
10172,文化路
10172,永和路
10172,重慶南路
10172,愛國西路
10151,大觀路
17557,安和路
10148,北門街
10148,西門街
10148,林固街
10148,大觀路
17557,安和路
10196,復興路
16585,復興路
17775,復興路
16462,復興路
16666,鎮前街
10148,復興路
10161,金城路
10161,青雲路
10148,中山路
10148,中正一路
10148,仁愛路
10148,文化路
10148,三鶯路
10148,復興路
10148,民生街
10148,文化路
10161,青雲路
10161,石門路
10171,連城路
10171,員山路
10171,中山路
10151,樹新路
10171,板南路
10171,中山路
10171,景平路
10171,萬大路
17557,景新街
10151,復興街
10151,中山路
10151,保安街
10151,大觀路
10171,萬大路
10171,康定路
10171,和平西路
10171,西園路
10171,桂林路
10171,康定路
10171,萬大路
10151,大觀路
10151,西門街
10151,北門街
10151,府中路
10151,文化路
10732,中和路
10732,興隆路
10151,文化路
10148,文化路
10148,民生街
10148,復興路
10148,文化路
10148,中正一路
10148,仁愛路
10148,建國路
10148,中正一路
10148,中山路
10151,俊英街
10151,三俊街
10151,中正路
10151,保安街
10151,保安路
10151,保安街
10151,安街
10151,保安街
10151,復興路
10161,三民路
10161,雙十路
15224,稻香路
10474,重新路
10151,文化路
10161,青雲路
10148,文化路
10151,文化路
10151,和平西路
10151,康定路
10151,漢口街
10151,中華路
10151,南寧路
10151,和平西路
10151,文化路
10772,中華路
10731,興隆路
17557,景平路
10151,中山路
10151,復興路
10151,保安街
10151,保安路
10151,保安街
10151,中正路
10151,三俊街
10151,俊英街
10151,樹新路
10161,雙十路
10161,文化路
10161,和平西路
10161,康定路
10161,漢口街
10161,中華路
10161,南寧路
10161,和平西路
10161,文化路
10161,雙十路
10161,三民路
10161,員山路
10161,連城路
10161,金城路
15224,稻香路
10161,青雲路
10161,金城路
10161,員山路
10172,和平西路
10172,重慶南路
10172,永和路
10172,文化路
10172,保安路
10172,仁愛路
10172,莊敬路
10172,福祥路
10172,連城路
10171,萬大路
10151,文化路
10151,北門街
10151,西門街
10151,林固街
10151,大觀路
10151,保安街
10151,中山路
10148,大觀路
10148,西門街
10148,北門街
10195,中央路
10329,安康路
10732,寶橋路
17557,景安路
16542,淡金路
10195,介壽路
10195,大同路
10195,中正路
10195,介壽路
10195,復興路
10195,學成路
10195,學勤路
10196,大義路
10196,學勤路
10196,國慶路
10196,復興路
10196,介壽路
10196,金城路
10196,連城路
10196,中山路
10196,永和路
10196,重慶南路
10196,愛國西路
10196,中華路
10196,介壽路
10196,中央路
10196,金城路
10196,永和路
10196,中央路
10196,重慶南路
10196,公園路
10196,公園路與常德街
10196,公園路
10196,南昌路
10196,連城路
10196,金城路
10196,中央路
10196,介壽路
10196,復興路
10196,學勤路
10196,大義路
10196,中央路
10424,五工六路
10475,重新路
10474,重新路
10753,北深路
10173,福州街
10173,南昌路
10173,貴陽街
16732,淡海路
16732,沙崙路
17625,萬壽路
17625,中正路
10784,溪園路
16732,沙崙路
10148,中山路
10148,保安街
10148,大觀路
11244,五華街家樂福路
11244,五華街
16732,新民街
16732,新春街
16732,新民街
16732,新春街
10195,介壽路
10195,中央路
16732,新春街
16732,中山北路
16732,北新路
16732,淡金路
16732,淡金路忠愛街
10195,中央路
10195,四川路
10195,館前東路
10195,中山路
10195,政府西側門對面(新府路
10195,中山路
10195,西園路
10195,康定路
10195,漢口街
10195,中華路
16732,沙崙路
16732,新民街
16732,中正路
16732,濱海路
10195,西園路
10511,樹新路
17625,萬壽路
10173,南昌路
10162,貴陽街
10163,貴陽街
10195,中央路
10195,西園路
10195,中山路
10195,新站路
10195,政府西側門外(新府路
10195,中山路
10195,館前東路
10195,四川路
10195,中央路
10196,介壽路
10195,三樹路
10195,大義路
10195,學勤路
10195,國慶路
10195,復興路
16668,五華街
16668,集賢路
10195,復興路
10195,介壽路
10195,中正路
10195,大同路
10196,大學路
10474,中正路
10474,重新路
10511,重新路
10492,重新路
10511,重新路
10474,中正路
17868,工商路
10784,民權路
10784,興隆路
17868,工商路
16692,明德路
5416,新台五路
16668,集賢路
16668,三信路
16692,成泰路
15224,鄧公路
10453,中興路
10172,保安路
10148,中山路
10453,中興路
10195,大學路
16692,成泰路
16656,安康路
15224,新春街
17293,路
16511,文化路
17919,景平路
5413,汐萬路
5413,康寧街
5413,汐萬路
16630,中山北路
15224,中山北路
15224,中山路
15224,鄧公路
15224,淡水路
5413,汐萬路
5413,康寧街
5413,伯爵街
5413,康寧街
5413,明峰街
5413,康寧街
5413,東湖路
5413,康寧路
5413,三重路
5413,南港路
5413,民大道八段興中路
16732,淡金路
16732,中正東路
10116,圓通路
10491,中正路
10172,莊敬路
10116,忠孝街
15224,學府路
10474,萬壽路
16282,中正路
17552,八連路
16535,中山北路
10161,員山路
10148,大觀路
16731,明峰街
16731,中興路
16731,大同路
16462,南雅南路
