id,地址,總班次
10148,府中路,80
10148,文化路,80
16518,中平路,30
16518,中平路,30
10148,中山路,80
10148,中正一路,80
10171,萬大路,6
10172,南昌路,48
10172,南昌路,48
10148,中山路,80
10148,中山路三段+中州街,80
10161,青雲路,58
10172,連城路,48
10172,連城路,48
10172,福祥路,48
10172,福祥路,48
10172,莊敬路,48
10172,莊敬路,48
10172,仁愛路,48
10172,仁愛路,48
10172,保安路,48
10172,保安路,48
10172,文化路,48
10172,文化路,48
10172,永和路,48
10172,永和路,48
10172,重慶南路,48
10172,重慶南路,48
10172,愛國西路,48
10172,愛國西路,48
10151,大觀路,75
17557,安和路,20
10148,北門街,80
10148,西門街,80
10148,林固街,80
10148,大觀路,80
17557,安和路,20
10196,復興路,130
16585,復興路,180
17775,復興路,180
16462,復興路,99
16666,鎮前街,48
10148,復興路,80
10161,金城路,58
10161,青雲路,58
10148,中山路,80
10148,中正一路,80
10148,仁愛路,80
10148,文化路,80
10148,三鶯路,80
10148,復興路,80
10148,民生街,80
10148,文化路,80
10161,青雲路,58
10161,石門路,58
10171,連城路,6
10171,員山路,6
10171,中山路,6
10151,樹新路,75
10171,板南路,6
10171,中山路,6
10171,景平路,6
10171,萬大路,6
17557,景新街,20
10151,復興街,75
10151,中山路,75
10151,保安街,75
10151,大觀路,75
10171,萬大路,6
10171,康定路,6
10171,和平西路,6
10171,西園路,6
10171,桂林路,6
10171,康定路,6
10171,萬大路,6
10151,大觀路,75
10151,西門街,75
10151,北門街,75
10151,府中路,75
10151,文化路,75
10732,中和路,46
10732,中和路,46
10732,興隆路,46
10732,興隆路,46
10151,文化路,75
10148,文化路,80
10148,民生街,80
10148,復興路,80
10148,文化路,80
10148,中正一路,80
10148,仁愛路,80
10148,建國路,80
10148,中正一路,80
10148,中山路,80
10151,俊英街,75
10151,三俊街,75
10151,中正路,75
10151,保安街,75
10151,保安路,75
10151,保安街,75
10151,安街,75
10151,保安街,75
10151,復興路,75
10161,三民路,58
10161,雙十路,58
15224,稻香路,9
15224,稻香路,9
10474,重新路,52
10151,文化路,75
10161,青雲路,58
10148,文化路,80
10151,文化路,75
10151,和平西路,75
10151,康定路,75
10151,漢口街,75
10151,中華路,75
10151,南寧路,75
10151,和平西路,75
10151,文化路,75
10772,中華路,43
10731,興隆路,44
10731,興隆路,44
17557,景平路,20
10151,中山路,75
10151,復興路,75
10151,保安街,75
10151,保安路,75
10151,保安街,75
10151,中正路,75
10151,三俊街,75
10151,俊英街,75
10151,樹新路,75
10161,雙十路,58
10161,文化路,58
10161,和平西路,58
10161,康定路,58
10161,漢口街,58
10161,中華路,58
10161,南寧路,58
10161,和平西路,58
10161,文化路,58
10161,雙十路,58
10161,三民路,58
10161,員山路,58
10161,連城路,58
10161,金城路,58
15224,稻香路,9
15224,稻香路,9
10161,青雲路,58
10161,金城路,58
10161,員山路,58
10172,和平西路,48
10172,和平西路,48
10172,重慶南路,48
10172,重慶南路,48
10172,永和路,48
10172,永和路,48
10172,文化路,48
10172,文化路,48
10172,保安路,48
10172,保安路,48
10172,仁愛路,48
10172,仁愛路,48
10172,莊敬路,48
10172,莊敬路,48
10172,福祥路,48
10172,福祥路,48
10172,連城路,48
10172,連城路,48
10171,萬大路,6
10151,文化路,75
10151,北門街,75
10151,西門街,75
10151,林固街,75
10151,大觀路,75
10151,保安街,75
10151,中山路,75
10148,大觀路,80
10148,西門街,80
10148,北門街,80
10195,中央路,74
10329,安康路,90
10732,寶橋路,46
10732,寶橋路,46
17557,景安路,20
16542,淡金路,3
16542,淡金路,3
10195,介壽路,74
10195,大同路,74
10195,中正路,74
10195,介壽路,74
10195,復興路,74
10195,學成路,74
10195,學勤路,74
10196,大義路,130
10196,學勤路,130
10196,國慶路,130
10196,復興路,130
10196,介壽路,130
10196,金城路,130
10196,連城路,130
10196,中山路,130
10196,永和路,130
10196,重慶南路,130
10196,愛國西路,130
10196,中華路,130
10196,介壽路,130
10196,中央路,130
10196,金城路,130
10196,永和路,130
10196,中央路,130
10196,重慶南路,130
10196,公園路,130
10196,公園路與常德街,130
10196,公園路,130
10196,南昌路,130
10196,連城路,130
10196,金城路,130
10196,中央路,130
10196,介壽路,130
10196,復興路,130
10196,學勤路,130
10196,大義路,130
10196,中央路,130
10424,五工六路,112
10475,重新路,53
10474,重新路,52
10753,北深路,9
10173,福州街,99
10173,南昌路,99
10173,貴陽街,99
16732,淡海路,108
16732,淡海路,108
16732,沙崙路,108
16732,沙崙路,108
17625,萬壽路,22
17625,中正路,22
10784,溪園路,99
10784,溪園路,99
16732,沙崙路,108
16732,沙崙路,108
10148,中山路,80
10148,保安街,80
10148,大觀路,80
11244,五華街家樂福路,90
11244,五華街,90
16732,新民街,108
16732,新民街,108
16732,新春街,108
16732,新春街,108
16732,新民街,108
16732,新民街,108
16732,新春街,108
16732,新春街,108
10195,介壽路,74
10195,中央路,74
16732,新春街,108
16732,新春街,108
16732,中山北路,108
16732,中山北路,108
16732,北新路,108
16732,北新路,108
16732,淡金路,108
16732,淡金路,108
16732,淡金路忠愛街,108
16732,淡金路忠愛街,108
10195,中央路,74
10195,四川路,74
10195,館前東路,74
10195,中山路,74
10195,政府西側門對面(新府路,74
10195,中山路,74
10195,西園路,74
10195,康定路,74
10195,漢口街,74
10195,中華路,74
16732,沙崙路,108
16732,沙崙路,108
16732,新民街,108
16732,新民街,108
16732,中正路,108
16732,中正路,108
16732,濱海路,108
16732,濱海路,108
10195,西園路,74
10511,樹新路,36
17625,萬壽路,22
10173,南昌路,99
10162,貴陽街,99
10163,貴陽街,99
10195,中央路,74
10195,西園路,74
10195,中山路,74
10195,新站路,74
10195,政府西側門外(新府路,74
10195,中山路,74
10195,館前東路,74
10195,四川路,74
10195,中央路,74
10196,介壽路,130
10195,三樹路,74
10195,大義路,74
10195,學勤路,74
10195,國慶路,74
10195,復興路,74
16668,五華街,144
16668,集賢路,144
10195,復興路,74
10195,介壽路,74
10195,中正路,74
10195,大同路,74
10196,大學路,130
10474,中正路,52
10474,重新路,52
10511,重新路,36
10492,重新路,56
10511,重新路,36
10474,中正路,52
17868,工商路,26
10784,民權路,99
10784,民權路,99
10784,興隆路,99
10784,興隆路,99
17868,工商路,26
16692,明德路,76
5416,新台五路,15
16668,集賢路,144
16668,三信路,144
16692,成泰路,76
15224,鄧公路,9
15224,鄧公路,9
10453,中興路,120
10172,保安路,48
10172,保安路,48
