,routeId,realSequence
0,16978,99
1,16977,99
2,17563,99
3,17563,99
4,16531,1
5,16532,1
6,16659,64
7,16659,64
8,16522,4
9,16522,4
10,16543,8
11,16660,2
12,16513,34
13,16565,16
14,16565,16
15,16565,16
16,16565,16
17,16557,10
18,16557,10
19,16557,10
20,16557,10
21,16556,6
22,16556,6
23,16607,24
24,16733,5
25,16733,5
26,16580,7
27,16717,25
28,16717,25
29,5413,25
30,17557,20
31,17706,14
32,17625,22
33,10329,90
34,16585,180
35,17775,180
36,10325,80
37,16462,99
38,15717,61
39,17519,99
40,17519,99
41,16210,24
42,16210,24
43,17532,98
44,17532,98
45,17532,98
46,17532,98
47,17532,98
48,17532,98
49,17532,98
50,17532,98
51,17532,98
52,17532,98
53,16633,60
54,16603,200
55,16664,208
56,16224,180
57,16422,31
58,16422,31
59,16604,124
60,16604,124
61,17536,96
62,17536,96
63,17536,96
64,17545,2
65,17545,2
66,17545,2
67,17537,16
68,17537,16
69,17537,16
70,17537,16
71,16423,99
72,16614,99
73,16560,220
74,17717,220
75,17534,128
76,17534,128
77,17534,128
78,17534,128
79,17534,128
80,17534,128
81,16562,54
82,16583,200
83,16583,200
84,16583,200
85,16710,2
86,16655,118
87,16672,10
88,16635,180
89,16635,180
90,16635,180
91,17716,1
92,16728,24
93,16726,52
94,16726,52
95,16726,52
96,16630,6
97,16759,6
98,16759,6
99,17292,50
100,17293,29
101,17294,29
102,17570,140
103,17570,140
104,17570,140
105,17570,140
106,17570,140
107,17570,140
108,16662,46
109,17548,72
110,17548,72
111,17548,72
112,17548,72
113,17575,32
114,17575,32
115,17575,32
116,17575,32
117,16606,70
118,17668,100
119,17668,100
120,17679,4
121,17679,4
122,16626,8
123,16626,8
124,17680,99
125,17680,99
126,17680,99
127,17680,99
128,17687,99
129,17687,99
130,17687,99
131,17687,99
132,16628,4
133,16673,27
134,16577,4
135,16627,2
136,16732,108
137,16732,108
138,16619,120
139,16619,120
140,16619,120
141,16619,120
142,16619,120
143,16619,120
144,16629,8
145,16671,161
146,16288,120
147,16715,33
148,16430,12
149,16431,110
150,16431,110
151,16431,110
152,16431,110
153,16536,31
154,16564,5
155,16564,5
156,17510,110
157,17510,110
158,16282,63
159,16432,54
160,16432,54
161,16432,54
162,16527,3
163,16397,40
164,17360,47
165,10281,150
166,16542,3
167,16542,3
168,16464,108
169,17516,68
170,17516,68
171,17516,68
172,17516,68
173,16498,132
174,17332,132
175,16632,100
176,16191,76
177,16745,99
178,16599,48
179,16463,56
180,16486,99
181,16487,112
182,16601,64
183,16735,208
184,17311,99
185,17700,99
186,16729,114
187,16602,56
188,10732,46
189,10732,46
190,16406,54
191,16467,2
192,16468,250
193,11244,90
194,17517,246
195,17517,246
196,17517,246
197,17517,246
198,10171,6
199,10161,58
200,10173,99
201,10116,6
202,10172,48
203,10172,48
204,10162,99
205,15181,99
206,10772,43
207,16588,244
208,16588,244
209,16588,244
210,16581,146
211,16461,60
212,16461,60
